"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1B_IW_SLC__1SDV_20200331T070636_20200331T070704_020932_027B44_7B36","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20932","81","1048","2020-03-31T07:07:04.000000","2020-03-31T07:06:36.000000","SLC","2020-03-31T07:06:36.000000","2020-03-31T07:07:04.000000","-39.005","175.8055","-40.160103","174.701431","-39.477039","177.541321","-38.506733","174.095764","-37.839497","176.870819","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200331T070636_20200331T070704_020932_027B44_7B36.zip","4390.718453407288","None","None","None","0","S1B_IWDV_1048_1054_020932_081"
"S1B_IW_SLC__1SDV_20200319T070636_20200319T070703_020757_0275BE_63EF","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20757","81","1048","2020-03-19T07:07:03.000000","2020-03-19T07:06:36.000000","SLC","2020-03-19T07:06:36.000000","2020-03-19T07:07:03.000000","-39.0052","175.8053","-40.160358","174.70137","-39.477341","177.541153","-38.506737","174.095612","-37.83955","176.870544","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200319T070636_20200319T070703_020757_0275BE_63EF.zip","4361.010919570923","None","None","None","0","S1B_IWDV_1048_1054_020757_081"
"S1B_IW_SLC__1SDV_20200307T070635_20200307T070703_020582_027030_545F","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20582","81","1048","2020-03-07T07:07:03.000000","2020-03-07T07:06:35.000000","SLC","2020-03-07T07:06:35.000000","2020-03-07T07:07:03.000000","-39.005","175.8051","-40.160259","174.701202","-39.47731","177.540833","-38.506386","174.095367","-37.83926","176.870148","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200307T070635_20200307T070703_020582_027030_545F.zip","4370.9491357803345","None","None","None","0","S1B_IWDV_1048_1054_020582_081"
"S1B_IW_SLC__1SDV_20200224T070635_20200224T070703_020407_026AA1_4A9B","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20407","81","1048","2020-02-24T07:07:03.000000","2020-02-24T07:06:35.000000","SLC","2020-02-24T07:06:35.000000","2020-02-24T07:07:03.000000","-39.0048","175.8053","-40.159729","174.701477","-39.476826","177.540863","-38.506458","174.095856","-37.839375","176.870422","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200224T070635_20200224T070703_020407_026AA1_4A9B.zip","4393.650067329407","None","None","None","0","S1B_IWDV_1048_1054_020407_081"
"S1B_IW_SLC__1SDV_20200212T070636_20200212T070703_020232_0264FF_2E37","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20232","81","1048","2020-02-12T07:07:03.000000","2020-02-12T07:06:36.000000","SLC","2020-02-12T07:06:36.000000","2020-02-12T07:07:03.000000","-39.0049","175.8056","-40.159931","174.701813","-39.477009","177.541153","-38.506413","174.096054","-37.839317","176.870575","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200212T070636_20200212T070703_020232_0264FF_2E37.zip","4390.129565238953","None","None","None","0","S1B_IWDV_1048_1054_020232_081"
"S1B_IW_SLC__1SDV_20200131T070636_20200131T070704_020057_025F55_25F4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","20057","81","1048","2020-01-31T07:07:04.000000","2020-01-31T07:06:36.000000","SLC","2020-01-31T07:06:36.000000","2020-01-31T07:07:04.000000","-39.0049","175.8065","-40.159992","174.702713","-39.477062","177.542023","-38.506474","174.096954","-37.839367","176.871445","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200131T070636_20200131T070704_020057_025F55_25F4.zip","4429.4034967422485","None","None","None","0","S1B_IWDV_1048_1054_020057_081"
"S1B_IW_SLC__1SDV_20200119T070636_20200119T070704_019882_0259B8_1271","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19882","81","1048","2020-01-19T07:07:04.000000","2020-01-19T07:06:36.000000","SLC","2020-01-19T07:06:36.000000","2020-01-19T07:07:04.000000","-39.0045","175.807","-40.159451","174.703232","-39.476509","177.542511","-38.506184","174.097549","-37.839062","176.872009","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200119T070636_20200119T070704_019882_0259B8_1271.zip","4414.949213027954","None","None","None","0","S1B_IWDV_1048_1054_019882_081"
"S1B_IW_SLC__1SDV_20200107T070637_20200107T070705_019707_025425_6067","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19707","81","1048","2020-01-07T07:07:05.000000","2020-01-07T07:06:37.000000","SLC","2020-01-07T07:06:37.000000","2020-01-07T07:07:05.000000","-39.0047","175.8066","-40.159672","174.702805","-39.476788","177.542023","-38.50639","174.097137","-37.839325","176.871552","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200107T070637_20200107T070705_019707_025425_6067.zip","4396.534718513489","None","None","None","0","S1B_IWDV_1048_1054_019707_081"
"S1B_IW_SLC__1SDV_20191226T070637_20191226T070705_019532_024E91_572E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19532","81","1048","2019-12-26T07:07:05.000000","2019-12-26T07:06:37.000000","SLC","2019-12-26T07:06:37.000000","2019-12-26T07:07:05.000000","-39.0048","175.8054","-40.159794","174.701675","-39.476952","177.540878","-38.506264","174.095947","-37.839241","176.870331","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191226T070637_20191226T070705_019532_024E91_572E.zip","4440.1412715911865","None","None","None","0","S1B_IWDV_1048_1054_019532_081"
"S1B_IW_SLC__1SDV_20191214T070638_20191214T070706_019357_024902_5311","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19357","81","1048","2019-12-14T07:07:06.000000","2019-12-14T07:06:38.000000","SLC","2019-12-14T07:06:38.000000","2019-12-14T07:07:06.000000","-39.0048","175.8055","-40.159801","174.701767","-39.476933","177.540985","-38.506275","174.096024","-37.83923","176.870438","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20191214T070638_20191214T070706_019357_024902_5311.zip","4398.694991111755","None","None","None","0","S1B_IWDV_1048_1054_019357_081"
